bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
1;1;4;4;2;45;72;19;32;18
1;1;4;4;2;66;58;37;17;29
1;1;4;4;1;48;95;26;21;0
1;2;4;4;1;59;38;1;21;37
1;2;4;4;2;63;103;23;43;9
1;1;4;4;1;76;62;22;14;12
1;1;4;4;1;79;70;9;6;16
3;1;4;4;2;69;87;8;32;9
1;1;4;4;2;80;54;26;31;39
1;1;4;4;2;80;58;22;20;12
1;2;4;4;2;76;61;20;29;32
3;3;4;4;2;101;46;22;28;1
3;1;4;4;3;60;41;22;13;26
4;4;4;4;3;50;50;1;17;23
1;2;4;4;3;81;72;1;59;44
4;4;4;4;3;72;63;4;42;23
3;3;4;4;2;67;65;34;37;9
1;1;4;4;2;40;48;6;32;27
1;1;4;4;2;63;50;8;33;3
4;3;4;4;2;70;98;12;55;37
4;3;4;4;2;51;75;6;48;24
1;3;1;4;1;29;61;3;38;27
4;2;4;4;2;62;109;18;30;20
4;2;4;4;2;69;61;1;23;7
2;2;4;4;2;71;101;2;7;27
1;2;4;4;2;71;81;11;40;25
4;4;4;4;3;78;69;21;74;28
2;2;4;4;1;66;64;21;8;32
4;3;4;4;3;116;47;45;18;21
1;2;4;4;2;27;99;15;47;26
3;2;1;4;1;86;68;15;18;9
1;1;4;1;2;82;63;1;41;1
4;4;4;4;3;59;53;8;45;24
1;2;4;4;3;82;80;10;12;23
4;4;4;4;2;57;82;9;35;16
2;1;4;4;2;34;62;9;36;7
4;4;4;4;3;72;83;3;39;26
1;2;4;4;2;59;57;1;34;31
4;4;4;4;3;50;73;27;46;24
3;4;4;4;2;63;86;1;57;3
2;4;4;4;3;72;41;1;59;16
1;1;4;4;2;89;87;5;33;26
4;2;4;4;3;57;89;6;38;9
4;3;4;4;2;97;94;16;32;19
1;3;1;1;2;72;67;25;48;57
4;2;4;4;2;52;60;23;16;18
1;4;4;4;2;93;65;8;3;25
4;2;4;4;2;83;68;1;20;29
1;2;4;4;3;34;67;12;16;3
4;3;4;4;2;84;89;8;43;12
1;2;4;4;1;54;65;32;19;41
2;4;4;4;3;44;30;4;41;1
1;2;4;4;2;59;67;19;59;39
1;1;4;4;1;58;47;14;12;32
4;4;4;4;2;81;68;14;40;28
3;3;4;4;2;34;83;16;10;41
4;4;4;4;2;69;65;7;45;7
1;1;4;4;2;72;51;10;14;9
4;3;4;4;2;14;92;8;36;41
4;4;4;4;3;83;78;12;34;24
1;4;4;4;3;67;49;0;13;17
2;2;4;4;3;66;82;2;18;29
4;4;4;4;3;71;105;1;43;34
4;4;4;4;3;103;84;26;40;18
3;4;4;4;3;39;79;22;36;50
3;3;4;4;2;39;87;9;58;6
3;2;4;4;2;71;82;17;34;34
4;3;4;4;2;48;78;1;16;27
1;1;1;1;1;51;71;5;38;9
4;2;4;4;3;82;57;9;20;14
4;2;4;4;2;74;79;10;35;32
1;4;4;4;3;53;73;20;43;26
4;3;4;4;2;87;48;5;35;32
1;4;4;4;3;65;59;9;9;13
4;4;4;4;2;70;69;2;33;2
1;1;4;4;1;57;75;15;48;44
4;4;4;4;3;38;68;8;30;13
4;4;4;4;3;85;72;10;12;25
1;1;4;3;1;59;80;22;55;31
1;2;4;2;2;48;51;3;31;32
3;1;4;1;1;45;93;2;32;21
3;1;4;1;1;76;73;13;32;37
1;1;1;1;1;64;42;5;26;2
2;1;4;1;1;38;75;18;72;4
1;1;1;1;1;48;62;11;18;23
1;1;4;1;2;63;78;13;33;38
1;2;4;1;2;13;96;6;39;15
3;1;4;1;2;64;56;21;8;5
4;3;4;4;3;48;45;27;34;21
3;4;4;3;3;69;79;12;39;10
4;4;4;2;2;56;54;1;46;7
2;3;4;2;2;64;70;5;15;13
2;3;4;2;1;73;79;8;9;32
1;2;1;1;1;61;68;3;28;19
2;1;4;2;2;18;82;18;17;10
1;1;4;2;3;70;53;20;31;25
4;4;4;4;2;70;73;23;10;10
4;4;4;4;3;55;47;8;37;7
1;4;4;4;2;54;73;30;19;21
4;3;4;4;3;75;82;16;14;14
4;4;4;4;3;67;80;5;19;12
1;1;4;2;1;48;60;14;50;36
4;3;4;4;3;67;65;6;22;21
1;4;4;2;3;58;53;4;21;12
